run_name,model,best_test_acc,best_test_macro_f1,best_test_event_synops,final_test_acc,final_test_macro_f1,final_test_event_synops,csv_path,summary_path,best_model_path,final_model_path,status
lif__id027__tau2p5__vth1__lr0p001__a4__ig1p2__ls1,lif,0.9686,0.9684002118669708,79104053000.0,0.9675,0.9672529886576005,79094020000.0,./result/fintune/runs/lif__id027__tau2p5__vth1__lr0p001__a4__ig1p2__ls1/MNIST_lif_FF_v2_20260414_005315.csv,./result/fintune/runs/lif__id027__tau2p5__vth1__lr0p001__a4__ig1p2__ls1/MNIST_lif_FF_v2_20260414_005315_summary.json,./result/fintune/runs/lif__id027__tau2p5__vth1__lr0p001__a4__ig1p2__ls1/MNIST_lif_FF_v2_20260414_005315_best_model.pth,./result/fintune/runs/lif__id027__tau2p5__vth1__lr0p001__a4__ig1p2__ls1/MNIST_lif_FF_v2_20260414_005315_final_model.pth,DONE
lif__id028__tau2__vth0p5__lr0p0005__a4__ig1p2__ls1p2,lif,0.9688,0.9686134023982528,77261159000.0,0.967,0.9667543145017,77245749500.0,./result/fintune/runs/lif__id028__tau2__vth0p5__lr0p0005__a4__ig1p2__ls1p2/MNIST_lif_FF_v2_20260414_012008.csv,./result/fintune/runs/lif__id028__tau2__vth0p5__lr0p0005__a4__ig1p2__ls1p2/MNIST_lif_FF_v2_20260414_012008_summary.json,./result/fintune/runs/lif__id028__tau2__vth0p5__lr0p0005__a4__ig1p2__ls1p2/MNIST_lif_FF_v2_20260414_012008_best_model.pth,./result/fintune/runs/lif__id028__tau2__vth0p5__lr0p0005__a4__ig1p2__ls1p2/MNIST_lif_FF_v2_20260414_012008_final_model.pth,DONE
lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8,lif,0.9759,0.9758120977352988,82574122000.0,0.9756,0.9754712158088024,82558197500.0,./result/fintune/runs/lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_012008.csv,./result/fintune/runs/lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_012008_summary.json,./result/fintune/runs/lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_012008_best_model.pth,./result/fintune/runs/lif__id029__tau4__vth0p3__lr0p0005__a4__ig0p8__ls0p8/MNIST_lif_FF_v2_20260414_012008_final_model.pth,DONE
lif__id031__tau4__vth0p3__lr0p0008__a8__ig1p5__ls1,lif,0.9712,0.9709328944138372,77342786500.0,0.9703,0.9699953031560684,77316426000.0,./result/fintune/runs/lif__id031__tau4__vth0p3__lr0p0008__a8__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729.csv,./result/fintune/runs/lif__id031__tau4__vth0p3__lr0p0008__a8__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_summary.json,./result/fintune/runs/lif__id031__tau4__vth0p3__lr0p0008__a8__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_best_model.pth,./result/fintune/runs/lif__id031__tau4__vth0p3__lr0p0008__a8__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_final_model.pth,DONE
lif__id030__tau4__vth0p7__lr0p0005__a6__ig1p5__ls1,lif,0.9699,0.969740557610436,80124489000.0,0.969,0.9688142493726812,80122110500.0,./result/fintune/runs/lif__id030__tau4__vth0p7__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729.csv,./result/fintune/runs/lif__id030__tau4__vth0p7__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_summary.json,./result/fintune/runs/lif__id030__tau4__vth0p7__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_best_model.pth,./result/fintune/runs/lif__id030__tau4__vth0p7__lr0p0005__a6__ig1p5__ls1/MNIST_lif_FF_v2_20260414_014729_final_model.pth,DONE
lif__id033__tau2__vth0p3__lr0p001__a4__ig1__ls0p8,lif,0.9667,0.9663490379781652,76963738000.0,0.9652,0.9647851059597736,76964003000.0,./result/fintune/runs/lif__id033__tau2__vth0p3__lr0p001__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_021418.csv,./result/fintune/runs/lif__id033__tau2__vth0p3__lr0p001__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_021418_summary.json,./result/fintune/runs/lif__id033__tau2__vth0p3__lr0p001__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_021418_best_model.pth,./result/fintune/runs/lif__id033__tau2__vth0p3__lr0p001__a4__ig1__ls0p8/MNIST_lif_FF_v2_20260414_021418_final_model.pth,DONE
lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1,lif,0.9734,0.9732081146701704,76982399000.0,0.9727,0.9724717847144524,76983297500.0,./result/fintune/runs/lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1/MNIST_lif_FF_v2_20260414_021418.csv,./result/fintune/runs/lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1/MNIST_lif_FF_v2_20260414_021418_summary.json,./result/fintune/runs/lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1/MNIST_lif_FF_v2_20260414_021418_best_model.pth,./result/fintune/runs/lif__id032__tau2p5__vth0p3__lr0p001__a6__ig0p8__ls1/MNIST_lif_FF_v2_20260414_021418_final_model.pth,DONE
lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8,lif,0.9586,0.9580947432384505,76886655000.0,0.9572,0.9566786792674732,76886972500.0,./result/fintune/runs/lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8/MNIST_lif_FF_v2_20260414_024059.csv,./result/fintune/runs/lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8/MNIST_lif_FF_v2_20260414_024059_summary.json,./result/fintune/runs/lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8/MNIST_lif_FF_v2_20260414_024059_best_model.pth,./result/fintune/runs/lif__id034__tau2__vth0p5__lr0p0005__a6__ig1p5__ls0p8/MNIST_lif_FF_v2_20260414_024059_final_model.pth,DONE
lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1,lif,0.9781,0.9779484057795772,79515058000.0,0.978,0.9778177080039016,79514321500.0,./result/fintune/runs/lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1/MNIST_lif_FF_v2_20260414_024059.csv,./result/fintune/runs/lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1/MNIST_lif_FF_v2_20260414_024059_summary.json,./result/fintune/runs/lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1/MNIST_lif_FF_v2_20260414_024059_best_model.pth,./result/fintune/runs/lif__id035__tau3__vth0p5__lr0p0008__a4__ig1__ls1/MNIST_lif_FF_v2_20260414_024059_final_model.pth,DONE
alif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1,alif,0.9703,0.9700154854768208,76782735000.0,0.9684,0.9681211361750628,76781557500.0,./result/fintune/runs/alif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_alif_FF_v2_20260414_030742.csv,./result/fintune/runs/alif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_alif_FF_v2_20260414_030742_summary.json,./result/fintune/runs/alif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_alif_FF_v2_20260414_030742_best_model.pth,./result/fintune/runs/alif__id000__tau2__vth0p5__lr0p0008__a6__ig1__ls1/MNIST_alif_FF_v2_20260414_030742_final_model.pth,DONE
