method,model,T,event_dense_ratio,ratio_col,csv_path,exists
BP,dynsrm,2,0.2048629820346832,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/dynsrm/T2/NMNIST_BP_dynsrm_results.csv,True
BP,dynsrm,4,0.1404907703399658,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/dynsrm/T4/NMNIST_BP_dynsrm_results.csv,True
BP,dynsrm,8,0.0896962508559227,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/dynsrm/T8/NMNIST_BP_dynsrm_results.csv,True
BP,dynsrm,10,0.0770482569932937,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/dynsrm/T10/NMNIST_BP_dynsrm_results.csv,True
BP,dynsrm,16,0.0575313605368137,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/dynsrm/T16/NMNIST_BP_dynsrm_results.csv,True
FF,dynsrm,2,0.3698579967021942,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/dynsrm/T2/NMNIST_dynsrm_FF_compare.csv,True
FF,dynsrm,4,0.2812192738056183,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/dynsrm/T4/NMNIST_dynsrm_FF_compare.csv,True
FF,dynsrm,8,0.1915623843669891,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/dynsrm/T8/NMNIST_dynsrm_FF_compare.csv,True
FF,dynsrm,10,0.1647384762763977,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/dynsrm/T10/NMNIST_dynsrm_FF_compare.csv,True
FF,dynsrm,16,0.1148484349250793,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/dynsrm/T16/NMNIST_dynsrm_FF_compare.csv,True
BP,lif,2,0.2063174247741699,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/lif/T2/NMNIST_BP_lif_results.csv,True
BP,lif,4,0.1518464386463165,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/lif/T4/NMNIST_BP_lif_results.csv,True
BP,lif,8,0.0985719561576843,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/lif/T8/NMNIST_BP_lif_results.csv,True
BP,lif,10,0.0825692787766456,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/lif/T10/NMNIST_BP_lif_results.csv,True
BP,lif,16,0.06086041405797,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/BP/NMNIST/v2/result/timestep/lif/T16/NMNIST_BP_lif_results.csv,True
FF,lif,2,0.3600396513938904,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/lif/T2/NMNIST_lif_FF_compare.csv,True
FF,lif,4,0.2614517509937286,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/lif/T4/NMNIST_lif_FF_compare.csv,True
FF,lif,8,0.1742950975894928,mean_event_to_dense_ratio,/home/yhxu/spikingjelly/spikingjelly/spikingjelly/SNNFF/FF/NMNIST/v2/result/timestep/lif/T8/NMNIST_lif_FF_compare.csv,True
