epoch,train_acc,test_acc,best_test_acc,train_speed,test_speed,layer_0_loss,layer_1_loss
39,0.9915981950431034,0.9678,0.9695,8282.339237785793,5362.665181833467,-0.25977558308634263,-0.26598497197545806
40,0.9921875,0.9668,0.9695,7615.706452802399,6318.627995971075,-0.2599291544536064,-0.2659742441670648
41,0.9925747575431034,0.9687,0.9695,10271.986689018713,5499.379299602406,-0.26006937232510796,-0.26630212726264163
42,0.9921706627155172,0.9682,0.9695,7969.700106821837,5392.4469302243,-0.2603644677277269,-0.2663160439195304
43,0.9927936422413793,0.97,0.97,7747.333568388121,5304.454774074301,-0.2602396412142392,-0.26652243938939324
44,0.9924905711206896,0.9686,0.97,8133.12091711065,6549.847142270202,-0.2607738920326891,-0.26672382087543095
45,0.993584994612069,0.9686,0.97,12433.148509627285,5455.7781009440905,-0.2608787612668399,-0.266818237715754
46,0.9936860183189655,0.9685,0.97,8212.093699450084,5343.176771171663,-0.2611056586791729,-0.26692098173601875
47,0.9934502963362069,0.97,0.97,8168.827069175024,5330.836130739131,-0.26138535244711514,-0.26727034614003936
48,0.9939385775862069,0.9699,0.97,8491.014159302067,12546.238091434927,-0.26148615315042695,-0.26726976550858594
49,0.9939217403017241,0.97,0.97,8711.990103032484,5661.533411154654,-0.26179345311789676,-0.2674071069421439
50,0.9939554148706896,0.9693,0.97,7747.086010464457,5476.033774522047,-0.261725468882199,-0.2674699590123933
51,0.9942248114224138,0.9713,0.9713,7775.325807616406,6341.817003002543,-0.2620735281500323,-0.2677103753747611
52,0.9946794181034483,0.9701,0.9713,9485.224528059101,5554.6912019485835,-0.2623838658990531,-0.2677966222680848
53,0.994561557112069,0.972,0.972,7959.093402129191,5458.022275288988,-0.26242934321535044,-0.2680001310233412
54,0.995049838362069,0.9701,0.972,7553.131682775735,5241.099991415415,-0.2624628338320502,-0.2679621587539541
55,0.9947467672413793,0.9717,0.972,8019.8261840456225,6259.76375507263,-0.2622922247853772,-0.2681421062041973
