epoch,train_acc,test_acc,best_test_acc,train_speed,test_speed,layer_0_loss,layer_1_loss
247,0.9994612068965517,0.9693,0.974,7384.576163415599,6093.0103100091865,-0.2668687855375224,-0.27146534262032346
248,0.9995959051724138,0.9693,0.974,9590.717114816503,5938.8299540574035,-0.2665845299589223,-0.27143218496750143
249,0.9995959051724138,0.9669,0.974,9977.789885449287,5371.87551830551,-0.2667435109615326,-0.27152357019227125
250,0.9995453933189655,0.9701,0.974,7098.984273408547,5499.955481651163,-0.26652875645407315,-0.2712753219851132
251,0.999579067887931,0.9703,0.974,7446.5889333138,5351.234471189889,-0.2666965589441102,-0.27145159244537354
252,0.9994948814655172,0.9696,0.974,8504.596234829474,11186.43642876098,-0.2667406314405902,-0.2715595518720561
253,0.999444369612069,0.9693,0.974,9132.445039649807,6051.167758991118,-0.2665739994624565,-0.27136418120614414
254,0.9995453933189655,0.9691,0.974,7351.057882347141,5352.758755350456,-0.26681483511267035,-0.2713750210301629
255,0.9994612068965517,0.9669,0.974,7387.464043984105,5973.832124980488,-0.26711774077908745,-0.271752065625684
256,0.9996800915948276,0.9674,0.974,10843.316556221995,5320.05605821551,-0.26720828126216756,-0.2715727697158682
257,0.9996127424568966,0.968,0.974,7453.889289273232,5416.781014796658,-0.26678365982812025,-0.27152551761988936
258,0.9996632543103449,0.9699,0.974,7787.267904312294,5309.835700727245,-0.26679993086847764,-0.2715099864992602
259,0.9994780441810345,0.9703,0.974,8765.1717577824,8277.791548975554,-0.26684336929485714,-0.2714817523956299
260,0.9995622306034483,0.9689,0.974,10687.832624805398,5455.578692319469,-0.26662674135175246,-0.2714755257655834
261,0.9995622306034483,0.9688,0.974,7721.594766240323,5831.125386801925,-0.26671601574996423,-0.2716948564710288
262,0.9996295797413793,0.97,0.974,7399.48417301718,6379.110399127856,-0.2665032549151059,-0.27129668305660115
263,0.9996464170258621,0.9697,0.974,9115.701908160201,5468.519309488458,-0.26680296762236233,-0.2713865678885887
264,0.9994612068965517,0.9678,0.974,7478.093084219114,5518.8943958334185,-0.2666282468828662,-0.2713865350032675
265,0.9996295797413793,0.9686,0.974,7621.958396039922,5401.099818070559,-0.26656450279827776,-0.2713869368207866
266,0.9996632543103449,0.9688,0.974,8210.088921176462,8517.02428536502,-0.26684093680875054,-0.2714985650161217
267,0.9996632543103449,0.9692,0.974,9862.598687911703,5550.058387834159,-0.2667217881515108,-0.27141887052305813
268,0.9995453933189655,0.9683,0.974,7055.963467764219,5401.858032356768,-0.2667599166261739,-0.27155816452256565
269,0.9996800915948276,0.9684,0.974,7344.364256866019,6251.243935697038,-0.26683446662179355,-0.27153547056790056
270,0.9995959051724138,0.9694,0.974,9379.704117948499,5400.950982646872,-0.266822114072997,-0.2716900017754785
271,0.9997306034482759,0.9711,0.974,7721.37159346863,5338.908273664262,-0.2667014639953087,-0.27153743135518044
272,0.9995285560344828,0.9686,0.974,7488.58760548252,5202.946088037788,-0.26675944698267967,-0.27152829334653655
273,0.9996464170258621,0.9702,0.974,8090.2735014428445,8314.830508894578,-0.26689778936320335,-0.2715188131250184
274,0.9996295797413793,0.9691,0.974,10184.05276902673,5454.593926852616,-0.26685791077284976,-0.2716300466964985
275,0.9996632543103449,0.9701,0.974,7570.8212623576865,5389.649590228711,-0.2667575201083874,-0.2713868206944959
276,0.9996295797413793,0.9684,0.974,7081.634118058133,6930.36954004452,-0.26682305335998535,-0.27142241186109084
277,0.9994948814655172,0.9703,0.974,9555.92690329301,5287.436567020713,-0.2666627322805339,-0.2714361959490283
278,0.9995959051724138,0.969,0.974,7347.104077481515,5366.475292460662,-0.26683778290090887,-0.27154917244253485
279,0.9996295797413793,0.9692,0.974,7166.864692344818,5275.836833741173,-0.26665545743087243,-0.27161934457976245
280,0.9996127424568966,0.9706,0.974,8393.311611827268,10336.103556603932,-0.26665665466209937,-0.271406011334781
281,0.9997474407327587,0.9694,0.974,8604.036437935458,6104.353002217288,-0.2665478977663764,-0.2713548818538929
282,0.9997137661637931,0.969,0.974,7358.173976506835,5318.958391614865,-0.2667393509683938,-0.2715301030668719
283,0.9996800915948276,0.9702,0.974,7296.547797767251,6321.370622195415,-0.2665449833047801,-0.2715460678626751
284,0.9996464170258621,0.9697,0.974,9866.462305133948,6270.1622156076855,-0.26655940660114946,-0.2712513126175979
285,0.9996800915948276,0.9678,0.974,9625.776300229014,5476.056652841736,-0.2665360117780751,-0.27131450073472385
286,0.9997306034482759,0.9706,0.974,7459.631936945246,5392.941287803784,-0.2666376716104047,-0.2716025432635998
287,0.999579067887931,0.9686,0.974,7387.3115944968695,5394.751007326631,-0.26659206378048866,-0.27141866910046547
288,0.9997306034482759,0.9695,0.974,7982.572329760764,8006.205982420455,-0.26686151788152496,-0.271478860542692
289,0.9997474407327587,0.9692,0.974,9829.99835241107,5489.775804591759,-0.2664119077139887,-0.27142305723552046
290,0.9997306034482759,0.9716,0.974,7458.785594158549,5429.222451637923,-0.2666607550505934,-0.2715858138840774
291,0.9995453933189655,0.9697,0.974,7441.351048442127,6180.8512127604545,-0.2666390497108986,-0.2715713433150587
292,0.9995959051724138,0.9705,0.974,9489.653241738899,5593.313687476179,-0.26667416506800157,-0.27160692626032334
293,0.9996632543103449,0.9697,0.974,7405.184230184137,5437.871184949935,-0.26690425132883006,-0.2715934792469288
294,0.9997642780172413,0.9703,0.974,7559.966611666318,5594.493198194899,-0.2670626948619711,-0.27165325448430816
295,0.9996800915948276,0.9699,0.974,8122.385445678271,7425.431516600851,-0.2665860550156955,-0.2713952074790823
296,0.9995622306034483,0.9698,0.974,10202.966916711244,5356.397461859506,-0.26669235681665354,-0.27162615697959375
297,0.9996800915948276,0.9699,0.974,7575.257409594829,5666.39867831441,-0.2666863511348593,-0.27152365035024184
298,0.9996969288793104,0.9705,0.974,7376.548064412025,6442.236876199288,-0.2664888285357377,-0.27145624777366373
299,0.9996295797413793,0.9697,0.974,9489.219558833798,5269.529327189931,-0.26654278204358856,-0.27147248181803474
300,0.9996464170258621,0.9693,0.974,7394.178056261315,5244.9045331497955,-0.26673701611058465,-0.27154249672232
